name,transect,elevation,latitude,longitude,distance,longitude_dd,latitude_dd,year
coggrtr1pro1,1,0.325,41.39194398,-71.20445558,6.415972516,-71.34570994444445,41.65539994444445,2016
coggrtr1pro2,1,0.516,41.39194778,-71.20445436,7.612872286,-71.34570655555555,41.6554105,2016
coggrtr1pro3,1,0.65,41.39195189,-71.20445236,8.962001375,-71.345701,41.65542191666667,2016
coggrtr1pro4,1,0.775,41.39195587,-71.20445091,10.23008803,-71.34569697222223,41.65543297222222,2016
coggrtr1pro5,1,0.786,41.39195909,-71.20444894,11.32048749,-71.3456915,41.65544191666667,2016
coggrtr1pro6,1,0.822,41.39196269,-71.20444674,12.53870988,-71.3456853888889,41.655451916666664,2016
coggrtr1pro7,1,0.783,41.39196657,-71.20444551,13.75899653,-71.34568197222222,41.655462694444445,2016
coggrtr1pro8,1,0.788,41.39196903,-71.20444476,14.53102837,-71.3456798888889,41.655469527777775,2016
coggrtr1pro9,1,0.768,41.39197234,-71.20444282,15.64370234,-71.3456745,41.65547872222222,2016
coggrtr1pro10,1,0.786,41.39197629,-71.20444074,16.95455594,-71.34566872222223,41.65548969444445,2016
coggrtr1pro11,1,0.81,41.39197995,-71.20443976,18.09342843,-71.345666,41.65549986111111,2016
coggrtr1pro13,1,0.748,41.39198365,-71.2044375,19.34638216,-71.34565972222222,41.655510138888886,2016
coggrtr1pro14,1,0.718,41.39198679,-71.20443483,20.46679605,-71.34565230555556,41.65551886111111,2016
coggrtr1pro15,1,0.698,41.39198993,-71.20443338,21.49269031,-71.34564827777778,41.65552758333333,2016
coggrtr1pro16,1,0.73,41.39199321,-71.20443192,22.55892354,-71.34564422222222,41.65553669444444,2016
coggrtr1pro17,1,0.71,41.3919965,-71.20442999,23.6661192,-71.34563886111111,41.655545833333335,2016
coggrtr1pro18,1,0.709,41.39199977,-71.20442876,24.71199169,-71.34563544444444,41.65555491666667,2016
coggrtr1pro19,1,0.708,41.39200319,-71.20442701,25.84128384,-71.34563058333333,41.655564416666664,2016
coggrtr1pro20,1,0.707,41.39200627,-71.20442568,26.83810418,-71.34562688888889,41.655572972222224,2016
coggrtr1pro21,1,0.689,41.39200964,-71.20442389,27.9583072,-71.34562191666667,41.655582333333335,2016
coggrtr1pro22,1,0.71,41.39201282,-71.20442218,29.01636546,-71.34561716666667,41.65559116666667,2016
coggrtr1pro23,1,0.719,41.39201622,-71.20442037,30.14269551,-71.3456121388889,41.65560061111111,2016
coggrtr1pro24,1,0.711,41.39201962,-71.20441849,31.27814931,-71.34560691666667,41.655610055555556,2016
coggrtr1pro25,1,0.695,41.39202343,-71.20441657,32.53634015,-71.34560158333333,41.65562063888889,2016
